DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
"Hemolytic uremic syndrome, postdiarrheal",2014,36,329
"Hepatitis B, virus infection perinatal",2014,36,48
"Influenza-associated pediatric mortality,",2014,36,161
Leptospirosis,2014,36,NA
Listeriosis,2014,36,735
Measles,2014,36,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,36,142
"Meningococcal disease, invasive, serogroup B",2014,36,99
"Meningococcal disease, invasive, other serogroup",2014,36,17
"Meningococcal disease, invasive, unknown serogroup",2014,36,298
Novel influenza A virus infections***,2014,36,21
Plague,2014,36,4
"Poliomyelitis, paralytic",2014,36,1
"Polio virus Infection, nonparalytic",2014,36,NA
Psittacosis,2014,36,6
"Q fever, total",2014,36,170
"Q fever, acute",2014,36,137
"Q fever, chronic",2014,36,33
"Rabies, human",2014,36,2
Rubella,2014,36,9
"Rubella, congenital syndrome",2014,36,1
SARS-CoV,2014,36,NA
Smallpox,2014,36,NA
Streptococcal toxic-shock syndrome,2014,36,224
"Syphilis, congenital (age <1 yr)",2014,36,348
Tetanus,2014,36,26
Toxic-shock syndrome (staphylococcal),2014,36,71
Trichinellosis,2014,36,22
Tularemia,2014,36,203
Typhoid fever,2014,36,338
Vancomycin-intermediate Staphylococcus aureus,2014,36,248
Vancomycin-resistant Staphylococcus aureus,2014,36,NA
Vibriosis (noncholera Vibrio species infections),2014,36,1299
Viral hemorrhagic fever,2014,36,NA
Yellow fever,2014,36,NA
Anthrax,2014,37,NA
"Arboviral diseases, California serogroup virus disease,",2014,37,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,37,8
"Arboviral diseases, Powassan virus disease,",2014,37,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,37,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,37,NA
"Botulism, total",2014,37,152
"Botulism, foodborne",2014,37,4
"Botulism, infant",2014,37,136
"Botulism, other (wound and unspecified)",2014,37,12
Brucellosis,2014,37,99
Chancroid,2014,37,10
Cholera,2014,37,14
Cyclosporiasis,2014,37,784
Diphtheria,2014,37,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,37,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,37,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,37,185
Hansen disease,2014,37,81
Hantavirus pulmonary syndrome,2014,37,21
"Hemolytic uremic syndrome, postdiarrheal",2014,37,329
"Hepatitis B, virus infection perinatal",2014,37,48
"Influenza-associated pediatric mortality,",2014,37,161
Leptospirosis,2014,37,NA
Listeriosis,2014,37,735
Measles,2014,37,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,37,142
"Meningococcal disease, invasive, serogroup B",2014,37,99
"Meningococcal disease, invasive, other serogroup",2014,37,17
"Meningococcal disease, invasive, unknown serogroup",2014,37,298
Novel influenza A virus infections***,2014,37,21
Plague,2014,37,4
"Poliomyelitis, paralytic",2014,37,1
"Polio virus Infection, nonparalytic",2014,37,NA
Psittacosis,2014,37,6
"Q fever, total",2014,37,170
"Q fever, acute",2014,37,137
"Q fever, chronic",2014,37,33
"Rabies, human",2014,37,2
Rubella,2014,37,9
"Rubella, congenital syndrome",2014,37,1
SARS-CoV,2014,37,NA
Smallpox,2014,37,NA
Streptococcal toxic-shock syndrome,2014,37,224
"Syphilis, congenital (age <1 yr)",2014,37,348
Tetanus,2014,37,26
Toxic-shock syndrome (staphylococcal),2014,37,71
Trichinellosis,2014,37,22
Tularemia,2014,37,203
Typhoid fever,2014,37,338
Vancomycin-intermediate Staphylococcus aureus,2014,37,248
Vancomycin-resistant Staphylococcus aureus,2014,37,NA
Vibriosis (noncholera Vibrio species infections),2014,37,1299
Viral hemorrhagic fever,2014,37,NA
Yellow fever,2014,37,NA
Anthrax,2014,38,NA
"Arboviral diseases, California serogroup virus disease,",2014,38,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,38,8
"Arboviral diseases, Powassan virus disease,",2014,38,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,38,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,38,NA
"Botulism, total",2014,38,152
"Botulism, foodborne",2014,38,4
"Botulism, infant",2014,38,136
"Botulism, other (wound and unspecified)",2014,38,12
Brucellosis,2014,38,99
Chancroid,2014,38,10
Cholera,2014,38,14
Cyclosporiasis,2014,38,784
Diphtheria,2014,38,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,38,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,38,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,38,185
Hansen disease,2014,38,81
Hantavirus pulmonary syndrome,2014,38,21
"Hemolytic uremic syndrome, postdiarrheal",2014,38,329
"Hepatitis B, virus infection perinatal",2014,38,48
"Influenza-associated pediatric mortality,",2014,38,161
Leptospirosis,2014,38,NA
Listeriosis,2014,38,735
Measles,2014,38,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,38,142
"Meningococcal disease, invasive, serogroup B",2014,38,99
"Meningococcal disease, invasive, other serogroup",2014,38,17
"Meningococcal disease, invasive, unknown serogroup",2014,38,298
Novel influenza A virus infections***,2014,38,21
Plague,2014,38,4
"Poliomyelitis, paralytic",2014,38,1
"Polio virus Infection, nonparalytic",2014,38,NA
Psittacosis,2014,38,6
"Q fever, total",2014,38,170
"Q fever, acute",2014,38,137
"Q fever, chronic",2014,38,33
"Rabies, human",2014,38,2
Rubella,2014,38,9
"Rubella, congenital syndrome",2014,38,1
SARS-CoV,2014,38,NA
Smallpox,2014,38,NA
Streptococcal toxic-shock syndrome,2014,38,224
"Syphilis, congenital (age <1 yr)",2014,38,348
Tetanus,2014,38,26
Toxic-shock syndrome (staphylococcal),2014,38,71
Trichinellosis,2014,38,22
Tularemia,2014,38,203
Typhoid fever,2014,38,338
Vancomycin-intermediate Staphylococcus aureus,2014,38,248
Vancomycin-resistant Staphylococcus aureus,2014,38,NA
Vibriosis (noncholera Vibrio species infections),2014,38,1299
Viral hemorrhagic fever,2014,38,NA
Yellow fever,2014,38,NA
Anthrax,2014,39,NA
"Arboviral diseases, California serogroup virus disease,",2014,39,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,39,8
"Arboviral diseases, Powassan virus disease,",2014,39,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,39,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,39,NA
"Botulism, total",2014,39,152
"Botulism, foodborne",2014,39,4
"Botulism, infant",2014,39,136
"Botulism, other (wound and unspecified)",2014,39,12
Brucellosis,2014,39,99
Chancroid,2014,39,10
Cholera,2014,39,14
Cyclosporiasis,2014,39,784
Diphtheria,2014,39,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,39,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,39,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,39,185
Hansen disease,2014,39,81
Hantavirus pulmonary syndrome,2014,39,21
"Hemolytic uremic syndrome, postdiarrheal",2014,39,329
"Hepatitis B, virus infection perinatal",2014,39,48
"Influenza-associated pediatric mortality,",2014,39,161
Leptospirosis,2014,39,NA
Listeriosis,2014,39,735
Measles,2014,39,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,39,142
"Meningococcal disease, invasive, serogroup B",2014,39,99
"Meningococcal disease, invasive, other serogroup",2014,39,17
"Meningococcal disease, invasive, unknown serogroup",2014,39,298
Novel influenza A virus infections***,2014,39,21
Plague,2014,39,4
"Poliomyelitis, paralytic",2014,39,1
"Polio virus Infection, nonparalytic",2014,39,NA
Psittacosis,2014,39,6
"Q fever, total",2014,39,170
"Q fever, acute",2014,39,137
"Q fever, chronic",2014,39,33
"Rabies, human",2014,39,2
Rubella,2014,39,9
"Rubella, congenital syndrome",2014,39,1
Streptococcal toxic-shock syndrome,2014,39,224
"Syphilis, congenital (age <1 yr)",2014,39,348
Tetanus,2014,39,26
Toxic-shock syndrome (staphylococcal),2014,39,71
Trichinellosis,2014,39,22
Tularemia,2014,39,203
Typhoid fever,2014,39,338
Vancomycin-intermediate Staphylococcus aureus,2014,39,248
Vancomycin-resistant Staphylococcus aureus,2014,39,NA
Vibriosis (noncholera Vibrio species infections),2014,39,1299
Viral hemorrhagic fever,2014,39,NA
Yellow fever,2014,39,NA
Anthrax,2014,40,NA
"Arboviral diseases, California serogroup virus disease,",2014,40,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,40,8
"Arboviral diseases, Powassan virus disease,",2014,40,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,40,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,40,NA
"Botulism, total",2014,40,152
"Botulism, foodborne",2014,40,4
"Botulism, infant",2014,40,136
"Botulism, other (wound and unspecified)",2014,40,12
Brucellosis,2014,40,99
Chancroid,2014,40,10
Cholera,2014,40,14
Cyclosporiasis,2014,40,784
Diphtheria,2014,40,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,40,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,40,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,40,185
Hansen disease,2014,40,81
Hantavirus pulmonary syndrome,2014,40,21
"Hemolytic uremic syndrome, postdiarrheal",2014,40,329
"Hepatitis B, virus infection perinatal",2014,40,48
"Influenza-associated pediatric mortality,",2014,40,161
Leptospirosis,2014,40,NA
Listeriosis,2014,40,735
Measles,2014,40,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,40,142
"Meningococcal disease, invasive, serogroup B",2014,40,99
"Meningococcal disease, invasive, other serogroup",2014,40,17
"Meningococcal disease, invasive, unknown serogroup",2014,40,298
Novel influenza A virus infections***,2014,40,21
Plague,2014,40,4
"Poliomyelitis, paralytic",2014,40,1
"Polio virus Infection, nonparalytic",2014,40,NA
Psittacosis,2014,40,6
"Q fever, total",2014,40,170
"Q fever, acute",2014,40,137
"Q fever, chronic",2014,40,33
"Rabies, human",2014,40,2
Rubella,2014,40,9
"Rubella, congenital syndrome",2014,40,1
SARS-CoV,2014,40,NA
Smallpox,2014,40,NA
Streptococcal toxic-shock syndrome,2014,40,224
"Syphilis, congenital (age <1 yr)",2014,40,348
Tetanus,2014,40,26
Toxic-shock syndrome (staphylococcal),2014,40,71
Trichinellosis,2014,40,22
Tularemia,2014,40,203
Typhoid fever,2014,40,338
Vancomycin-intermediate Staphylococcus aureus,2014,40,248
Vancomycin-resistant Staphylococcus aureus,2014,40,NA
Vibriosis (noncholera Vibrio species infections),2014,40,1299
Viral hemorrhagic fever,2014,40,NA
Yellow fever,2014,40,NA
Anthrax,2014,41,NA
"Arboviral diseases, California serogroup virus disease,",2014,41,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,41,8
"Arboviral diseases, Powassan virus disease,",2014,41,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,41,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,41,NA
"Botulism, total",2014,41,152
"Botulism, foodborne",2014,41,4
"Botulism, infant",2014,41,136
"Botulism, other (wound and unspecified)",2014,41,12
Brucellosis,2014,41,99
Chancroid,2014,41,10
Cholera,2014,41,14
Cyclosporiasis,2014,41,784
Diphtheria,2014,41,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,41,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,41,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,41,185
Hansen disease,2014,41,81
Hantavirus pulmonary syndrome,2014,41,21
"Hemolytic uremic syndrome, postdiarrheal",2014,41,329
"Hepatitis B, virus infection perinatal",2014,41,48
"Influenza-associated pediatric mortality,",2014,41,161
Leptospirosis,2014,41,NA
Listeriosis,2014,41,735
Measles,2014,41,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,41,142
"Meningococcal disease, invasive, serogroup B",2014,41,99
"Meningococcal disease, invasive, other serogroup",2014,41,17
"Meningococcal disease, invasive, unknown serogroup",2014,41,298
Novel influenza A virus infections***,2014,41,21
Plague,2014,41,4
"Poliomyelitis, paralytic",2014,41,1
"Polio virus Infection, nonparalytic",2014,41,NA
Psittacosis,2014,41,6
"Q fever, total",2014,41,170
"Q fever, acute",2014,41,137
"Q fever, chronic",2014,41,33
"Rabies, human",2014,41,2
Rubella,2014,41,9
"Rubella, congenital syndrome",2014,41,1
SARS-CoV,2014,41,NA
Smallpox,2014,41,NA
Streptococcal toxic-shock syndrome,2014,41,224
"Syphilis, congenital (age <1 yr)",2014,41,348
Tetanus,2014,41,26
Toxic-shock syndrome (staphylococcal),2014,41,71
Trichinellosis,2014,41,22
Tularemia,2014,41,203
Typhoid fever,2014,41,338
Vancomycin-intermediate Staphylococcus aureus,2014,41,248
Vancomycin-resistant Staphylococcus aureus,2014,41,NA
Vibriosis (noncholera Vibrio species infections),2014,41,1299
Viral hemorrhagic fever,2014,41,NA
Yellow fever,2014,41,NA
Anthrax,2014,42,NA
"Arboviral diseases, California serogroup virus disease,",2014,42,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,42,8
"Arboviral diseases, Powassan virus disease,",2014,42,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,42,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,42,NA
"Botulism, total",2014,42,152
"Botulism, foodborne",2014,42,4
"Botulism, infant",2014,42,136
"Botulism, other (wound and unspecified)",2014,42,12
Brucellosis,2014,42,99
Chancroid,2014,42,10
Cholera,2014,42,14
Cyclosporiasis,2014,42,784
Diphtheria,2014,42,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,42,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,42,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,42,185
Hansen disease,2014,42,81
Hantavirus pulmonary syndrome,2014,42,21
"Hemolytic uremic syndrome, postdiarrheal",2014,42,329
"Hepatitis B, virus infection perinatal",2014,42,48
"Influenza-associated pediatric mortality,",2014,42,160
Leptospirosis,2014,42,NA
Listeriosis,2014,42,735
Measles,2014,42,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,42,142
"Meningococcal disease, invasive, serogroup B",2014,42,99
"Meningococcal disease, invasive, other serogroup",2014,42,17
"Meningococcal disease, invasive, unknown serogroup",2014,42,298
Novel influenza A virus infections***,2014,42,21
Plague,2014,42,4
"Poliomyelitis, paralytic",2014,42,1
"Polio virus Infection, nonparalytic",2014,42,NA
Psittacosis,2014,42,6
"Q fever, total",2014,42,170
"Q fever, acute",2014,42,137
"Q fever, chronic",2014,42,33
"Rabies, human",2014,42,2
Rubella,2014,42,9
"Rubella, congenital syndrome",2014,42,1
SARS-CoV,2014,42,NA
Smallpox,2014,42,NA
Streptococcal toxic-shock syndrome,2014,42,224
"Syphilis, congenital (age <1 yr)",2014,42,348
Tetanus,2014,42,26
Toxic-shock syndrome (staphylococcal),2014,42,71
Trichinellosis,2014,42,22
Tularemia,2014,42,203
Typhoid fever,2014,42,338
Vancomycin-intermediate Staphylococcus aureus,2014,42,248
Vancomycin-resistant Staphylococcus aureus,2014,42,NA
Vibriosis (noncholera Vibrio species infections),2014,42,1299
Viral hemorrhagic fever,2014,42,NA
Yellow fever,2014,42,NA
Anthrax,2014,43,NA
"Arboviral diseases, California serogroup virus disease,",2014,43,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,43,8
"Arboviral diseases, Powassan virus disease,",2014,43,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,43,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,43,NA
"Botulism, total",2014,43,152
"Botulism, foodborne",2014,43,4
"Botulism, infant",2014,43,136
"Botulism, other (wound and unspecified)",2014,43,12
Brucellosis,2014,43,99
Chancroid,2014,43,10
Cholera,2014,43,14
Cyclosporiasis,2014,43,784
Diphtheria,2014,43,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,43,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,43,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,43,185
Hansen disease,2014,43,81
Hantavirus pulmonary syndrome,2014,43,21
"Hemolytic uremic syndrome, postdiarrheal",2014,43,329
"Hepatitis B, virus infection perinatal",2014,43,48
"Influenza-associated pediatric mortality,",2014,43,160
Leptospirosis,2014,43,NA
Listeriosis,2014,43,735
Measles,2014,43,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,43,142
"Meningococcal disease, invasive, serogroup B",2014,43,99
"Meningococcal disease, invasive, other serogroup",2014,43,17
"Meningococcal disease, invasive, unknown serogroup",2014,43,298
Novel influenza A virus infections***,2014,43,21
Plague,2014,43,4
"Poliomyelitis, paralytic",2014,43,1
"Polio virus Infection, nonparalytic",2014,43,NA
Psittacosis,2014,43,6
"Q fever, total",2014,43,170
"Q fever, acute",2014,43,137
"Q fever, chronic",2014,43,33
"Rabies, human",2014,43,2
Rubella,2014,43,9
"Rubella, congenital syndrome",2014,43,1
SARS-CoV,2014,43,NA
Smallpox,2014,43,NA
Streptococcal toxic-shock syndrome,2014,43,224
"Syphilis, congenital (age <1 yr)",2014,43,348
Tetanus,2014,43,26
Toxic-shock syndrome (staphylococcal),2014,43,71
Trichinellosis,2014,43,22
Tularemia,2014,43,203
Typhoid fever,2014,43,338
Vancomycin-intermediate Staphylococcus aureus,2014,43,248
Vancomycin-resistant Staphylococcus aureus,2014,43,NA
Vibriosis (noncholera Vibrio species infections),2014,43,1299
Viral hemorrhagic fever,2014,43,NA
Yellow fever,2014,43,NA
Anthrax,2014,44,NA
"Arboviral diseases, California serogroup virus disease,",2014,44,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,44,8
"Arboviral diseases, Powassan virus disease,",2014,44,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,44,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,44,NA
"Botulism, total",2014,44,152
"Botulism, foodborne",2014,44,4
"Botulism, infant",2014,44,136
"Botulism, other (wound and unspecified)",2014,44,12
Brucellosis,2014,44,99
Chancroid,2014,44,10
Cholera,2014,44,14
Cyclosporiasis,2014,44,784
Diphtheria,2014,44,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,44,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,44,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,44,185
Hansen disease,2014,44,81
Hantavirus pulmonary syndrome,2014,44,21
"Hemolytic uremic syndrome, postdiarrheal",2014,44,329
"Hepatitis B, virus infection perinatal",2014,44,48
"Influenza-associated pediatric mortality,",2014,44,160
Leptospirosis,2014,44,NA
Listeriosis,2014,44,735
Measles,2014,44,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,44,142
"Meningococcal disease, invasive, serogroup B",2014,44,99
"Meningococcal disease, invasive, other serogroup",2014,44,17
"Meningococcal disease, invasive, unknown serogroup",2014,44,298
Novel influenza A virus infections***,2014,44,21
Plague,2014,44,4
"Poliomyelitis, paralytic",2014,44,1
"Polio virus Infection, nonparalytic",2014,44,NA
Psittacosis,2014,44,6
"Q fever, total",2014,44,170
"Q fever, acute",2014,44,137
"Q fever, chronic",2014,44,33
"Rabies, human",2014,44,2
Rubella,2014,44,9
"Rubella, congenital syndrome",2014,44,1
SARS-CoV,2014,44,NA
Smallpox,2014,44,NA
Streptococcal toxic-shock syndrome,2014,44,224
"Syphilis, congenital (age <1 yr)",2014,44,348
Tetanus,2014,44,26
Toxic-shock syndrome (staphylococcal),2014,44,71
Trichinellosis,2014,44,22
Tularemia,2014,44,203
Typhoid fever,2014,44,338
Vancomycin-intermediate Staphylococcus aureus,2014,44,245
Vancomycin-resistant Staphylococcus aureus,2014,44,NA
Vibriosis (noncholera Vibrio species infections),2014,44,1299
Viral hemorrhagic fever,2014,44,NA
Yellow fever,2014,44,NA
Anthrax,2014,45,NA
"Arboviral diseases, California serogroup virus disease,",2014,45,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,45,8
"Arboviral diseases, Powassan virus disease,",2014,45,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,45,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,45,NA
"Botulism, total",2014,45,152
"Botulism, foodborne",2014,45,4
"Botulism, infant",2014,45,136
"Botulism, other (wound and unspecified)",2014,45,12
Brucellosis,2014,45,99
Chancroid,2014,45,10
Cholera,2014,45,14
Cyclosporiasis,2014,45,784
Diphtheria,2014,45,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,45,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,45,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,45,185
Hansen disease,2014,45,81
Hantavirus pulmonary syndrome,2014,45,21
"Hemolytic uremic syndrome, postdiarrheal",2014,45,329
"Hepatitis B, virus infection perinatal",2014,45,48
"Influenza-associated pediatric mortality,",2014,45,160
Leptospirosis,2014,45,NA
Listeriosis,2014,45,735
Measles,2014,45,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,45,142
"Meningococcal disease, invasive, serogroup B",2014,45,99
"Meningococcal disease, invasive, other serogroup",2014,45,17
"Meningococcal disease, invasive, unknown serogroup",2014,45,298
Novel influenza A virus infections***,2014,45,21
Plague,2014,45,4
"Poliomyelitis, paralytic",2014,45,1
"Polio virus Infection, nonparalytic",2014,45,NA
Psittacosis,2014,45,6
"Q fever, total",2014,45,170
"Q fever, acute",2014,45,137
"Q fever, chronic",2014,45,33
"Rabies, human",2014,45,2
Rubella,2014,45,9
"Rubella, congenital syndrome",2014,45,1
SARS-CoV,2014,45,NA
Smallpox,2014,45,NA
Streptococcal toxic-shock syndrome,2014,45,224
"Syphilis, congenital (age <1 yr)",2014,45,348
Tetanus,2014,45,26
Toxic-shock syndrome (staphylococcal),2014,45,71
Trichinellosis,2014,45,22
Tularemia,2014,45,203
Typhoid fever,2014,45,338
Vancomycin-intermediate Staphylococcus aureus,2014,45,248
Vancomycin-resistant Staphylococcus aureus,2014,45,NA
Vibriosis (noncholera Vibrio species infections),2014,45,1299
Viral hemorrhagic fever,2014,45,NA
Yellow fever,2014,45,NA
Anthrax,2014,46,NA
"Arboviral diseases, California serogroup virus disease,",2014,46,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,46,8
"Arboviral diseases, Powassan virus disease,",2014,46,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,46,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,46,NA
"Botulism, total",2014,46,152
"Botulism, foodborne",2014,46,4
"Botulism, infant",2014,46,136
"Botulism, other (wound and unspecified)",2014,46,12
Brucellosis,2014,46,99
Chancroid,2014,46,10
Cholera,2014,46,14
Cyclosporiasis,2014,46,784
Diphtheria,2014,46,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,46,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,46,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,46,185
Hansen disease,2014,46,81
Hantavirus pulmonary syndrome,2014,46,21
"Hemolytic uremic syndrome, postdiarrheal",2014,46,329
"Hepatitis B, virus infection perinatal",2014,46,48
"Influenza-associated pediatric mortality,",2014,46,160
Leptospirosis,2014,46,NA
Listeriosis,2014,46,735
Measles,2014,46,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,46,142
"Meningococcal disease, invasive, serogroup B",2014,46,99
"Meningococcal disease, invasive, other serogroup",2014,46,17
"Meningococcal disease, invasive, unknown serogroup",2014,46,298
Novel influenza A virus infections***,2014,46,21
Plague,2014,46,4
"Poliomyelitis, paralytic",2014,46,1
"Polio virus Infection, nonparalytic",2014,46,NA
Psittacosis,2014,46,6
"Q fever, total",2014,46,170
"Q fever, acute",2014,46,137
"Q fever, chronic",2014,46,33
"Rabies, human",2014,46,2
Rubella,2014,46,9
"Rubella, congenital syndrome",2014,46,1
SARS-CoV,2014,46,NA
Smallpox,2014,46,NA
Streptococcal toxic-shock syndrome,2014,46,224
"Syphilis, congenital (age <1 yr)",2014,46,348
Tetanus,2014,46,26
Toxic-shock syndrome (staphylococcal),2014,46,71
Trichinellosis,2014,46,22
Tularemia,2014,46,203
Typhoid fever,2014,46,338
Vancomycin-intermediate Staphylococcus aureus,2014,46,248
Vancomycin-resistant Staphylococcus aureus,2014,46,NA
Vibriosis (noncholera Vibrio species infections),2014,46,1299
Viral hemorrhagic fever,2014,46,NA
Yellow fever,2014,46,NA
Anthrax,2014,47,NA
"Arboviral diseases, California serogroup virus disease,",2014,47,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,47,8
"Arboviral diseases, Powassan virus disease,",2014,47,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,47,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,47,NA
"Botulism, total",2014,47,152
"Botulism, foodborne",2014,47,4
"Botulism, infant",2014,47,136
"Botulism, other (wound and unspecified)",2014,47,12
Brucellosis,2014,47,99
Chancroid,2014,47,10
Cholera,2014,47,14
Cyclosporiasis,2014,47,784
Diphtheria,2014,47,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,47,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,47,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,47,185
Hansen disease,2014,47,81
Hantavirus pulmonary syndrome,2014,47,21
"Hemolytic uremic syndrome, postdiarrheal",2014,47,329
"Hepatitis B, virus infection perinatal",2014,47,48
"Influenza-associated pediatric mortality,",2014,47,160
Leptospirosis,2014,47,NA
Listeriosis,2014,47,735
Measles,2014,47,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,47,142
"Meningococcal disease, invasive, serogroup B",2014,47,99
"Meningococcal disease, invasive, other serogroup",2014,47,17
"Meningococcal disease, invasive, unknown serogroup",2014,47,298
Novel influenza A virus infections***,2014,47,21
Plague,2014,47,4
"Poliomyelitis, paralytic",2014,47,1
"Polio virus Infection, nonparalytic",2014,47,NA
Psittacosis,2014,47,6
"Q fever, total",2014,47,170
"Q fever, acute",2014,47,137
"Q fever, chronic",2014,47,33
"Rabies, human",2014,47,2
Rubella,2014,47,9
"Rubella, congenital syndrome",2014,47,1
SARS-CoV,2014,47,NA
Smallpox,2014,47,NA
Streptococcal toxic-shock syndrome,2014,47,224
"Syphilis, congenital (age <1 yr)",2014,47,348
Tetanus,2014,47,26
Toxic-shock syndrome (staphylococcal),2014,47,71
Trichinellosis,2014,47,22
Tularemia,2014,47,203
Typhoid fever,2014,47,338
Vancomycin-intermediate Staphylococcus aureus,2014,47,248
Vancomycin-resistant Staphylococcus aureus,2014,47,NA
Vibriosis (noncholera Vibrio species infections),2014,47,1299
Viral hemorrhagic fever,2014,47,NA
Yellow fever,2014,47,NA
Anthrax,2014,48,NA
"Arboviral diseases, California serogroup virus disease,",2014,48,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,48,8
"Arboviral diseases, Powassan virus disease,",2014,48,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,48,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,48,NA
"Botulism, total",2014,48,152
"Botulism, foodborne",2014,48,4
"Botulism, infant",2014,48,136
"Botulism, other (wound and unspecified)",2014,48,12
Brucellosis,2014,48,99
Chancroid,2014,48,10
Cholera,2014,48,14
Cyclosporiasis,2014,48,784
Diphtheria,2014,48,NA
